,identificatie,adres,locatie,status_id,status_omschrijving,vervaldatum,merk_id,merk_omschrijving,xmuurvlak,ymuurvlak,windrichting,bouwblok_code,hoogte_tov_nap,datum,peilmerknummer,geometrie,publiceerbaar
200,11589010,Madurastraat 2A-G,in de Celebesstraat,1,Actueel,,99,Onbekend,-35.0,41.0,W,,0.9332,1999-06-01,,POINT (123965.1 486327.5),J
201,11589011,Madurastraat 17,(Zijgevel bij speelplaats),1,Actueel,,99,Onbekend,19.0,32.0,O,,0.9304,1999-06-01,,POINT (124025.0 486365.2),J
202,11589012,Madurastraat 17,(Zijgevel bij speelplaats),1,Actueel,,99,Onbekend,-27.0,33.0,O,,0.9243,1999-06-01,,POINT (124024.0 486374.6),J
203,11589013,Bankastraat 4A-E,(in derde kolom),1,Actueel,,99,Onbekend,33.0,29.0,N,,0.8284,1999-06-01,,POINT (123992.1 486414.0),J
204,11589014,Bankastraat 18,(school),1,Actueel,,99,Onbekend,-21.0,20.0,N,,0.7592,1999-06-01,,POINT (124041.5 486414.7),J
205,11589015,Sumatrastraat 48/50,,1,Actueel,,99,Onbekend,14.0,28.0,O,,1.0834,1999-06-01,,POINT (124235.3 486254.0),J
206,11589018,Lombokstraat 4 (x = uit raamkozijn),2012 niet te meten ivm begroeiing,1,Actueel,,99,Onbekend,-52.0,41.0,O,,2.0588,1999-06-01,,POINT (124292.5 486535.3),J
207,11589020,Kraaienhofstraat 10,,3,Vervallen,2005-02-01,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-7.0,5.0,NW,YN51,1.1412,1999-06-01,,POINT (123759.9 486831.5),J
208,11589021,Kraaienhofstraat 10,,3,Vervallen,2018-06-01,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,7.0,13.0,NW,YN51,1.2693,1999-06-01,,POINT (123774.9 486846.4),J
209,11589022,Oostenburgergracht 75,(linker kolom),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,16.0,4.0,Z,YN29,1.9965,1999-06-01,,POINT (123477.7 486785.9),J
210,11589023,Oostenburgergracht 75,(rechter kolom),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,15.0,3.0,Z,YN29,1.9947,1999-06-01,,POINT (123462.5 486794.7),J
211,11589024,Compagniestraat 41/55,(rechter bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,4.0,100.0,ZO,YN75,3.1144,1999-06-01,,POINT (123496.0 486962.3),J
212,11589026,Sarphatiestraat 720,(rechter bouwmuur),3,Vervallen,2005-02-01,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,72.0,98.0,NW,YM22,3.1381,1999-06-01,,POINT (123495.9 486625.4),J
213,11689000,C. van Eesterenlaan,(zie overzicht meting archief; pakje A 265),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,30.0,18.0,Z,,3.2166,1992-12-22,,POINT (124427.1 486957.3),J
214,11689001,Ternatestraat 170/192,hoek Soembawastraat,1,Actueel,,99,Onbekend,5.0,50.0,N,,1.6026,1999-06-01,,POINT (124824.8 486487.8),J
215,11689002,Zeeburgerdijk 406,hoek Gorontalostraat,1,Actueel,,99,Onbekend,-17.0,16.0,N,,2.5488,1999-06-01,,POINT (124699.1 486555.3),J
216,11689003,Gorontalostraat 3A-H,(x = uit bouwmuur bij balkon),1,Actueel,,17,Veelal gebruikt door 'de waal',-233.0,29.0,W,,1.6521,2007-12-01,,POINT (124694.1 486530.4),J
217,11689004,Menadostraat 39A/41D,(naast grijze kast),1,Actueel,,99,Onbekend,28.0,35.0,W,,1.2613,1999-06-01,,POINT (124634.9 486491.4),J
218,11689005,Menadostraat 9A-E,(x = uit balkon),1,Actueel,,99,Onbekend,-25.0,30.0,O,,1.1802,1999-06-01,,POINT (124564.0 486481.1),J
219,11689006,,Zeeburgerdijk 250/262,1,Actueel,,99,Onbekend,87.0,12.0,N,,2.4802,1999-06-01,,POINT (124522.2 486554.3),J
