,meetboutidentificatie,adres,locatie,status_id,status_omschrijving,vervaldatum,merk_id,merk_omschrijving,xmuurvlak,ymuurvlak,windrichting,bouwblok_code,geometrie,publiceerbaar
2193,11181037,Elisabeth Wolffstraat 52,,1,Actueel,,14,Inbusbout,-13.0,89.0,O,AD11,POINT (119604.0 486966.4),J
2194,11181038,Elisabeth Wolffstraat 39 / 41,,1,Actueel,,14,Inbusbout,0.0,95.0,W,AD12,POINT (119609.6 486992.1),J
2195,11181220,Alberdingk Thijmstraat 5,,1,Actueel,,14,Inbusbout,-15.0,87.0,W,AE33,POINT (120146.7 486479.5),J
2196,11181221,Bosboom Toussaintstraat 27,hoek De Genestetstraat,1,Actueel,,14,Inbusbout,6.0,69.0,W,AE34,POINT (120222.8 486537.2),J
2197,11181222,Bosboom Toussaintstraat 17,,1,Actueel,,14,Inbusbout,44.0,79.0,N,AE34,POINT (120255.1 486552.9),J
2198,11181223,Bosboom Toussaintstraat 1A,,1,Actueel,,14,Inbusbout,-402.0,42.0,N,AE34,POINT (120295.1 486571.9),J
2199,11181224,Nassaukade 365,,1,Actueel,,14,Inbusbout,-39.0,54.0,O,AE34,POINT (120319.6 486562.2),J
2200,11181225,Nassaukade 369 hoek 3e Helmersstraat,(verdwenen jun 2002),1,Actueel,,14,Inbusbout,6.0,148.0,O,AE34,POINT (120334.7 486540.1),J
2201,11181226,3e Helmersstraat 14,,1,Actueel,,14,Inbusbout,-8.0,115.0,Z,AE34,POINT (120291.4 486518.1),J
2202,11181228,3e Helmersstraat 65,,1,Actueel,,14,Inbusbout,-33.0,116.0,N,AE35,POINT (120106.3 486416.5),J
2203,11181229,3e Helmersstraat 51,(verdwenen jun 2002),1,Actueel,,14,Inbusbout,-385.0,101.0,N,AE35,POINT (120146.1 486435.0),J
2204,11181230,3e Helmersstraat 49 in de Alberdingk Thijmstraat,(y = boven plint),1,Actueel,,14,Inbusbout,-415.0,16.0,O,AE35,POINT (120153.9 486433.3),J
2205,11181231,2e Helmersstraat 68 in de Alberdingk Thijmstraat,,1,Actueel,,14,Inbusbout,17.0,89.0,O,AE35,POINT (120170.8 486397.0),J
2206,11181232,2e Helmersstraat 84,,1,Actueel,,14,Inbusbout,-17.0,81.0,Z,AE35,POINT (120129.4 486375.8),J
2207,11181233,1e Constantijn Huygensstraat 43 in de 2e Helmersstraat,,1,Actueel,,14,Inbusbout,35.0,88.0,Z,AE35,POINT (120090.2 486357.5),J
2208,11181234,1e Constantijn Huygensstraat 43,,1,Actueel,,14,Inbusbout,198.0,88.0,W,AE35,POINT (120084.0 486367.1),J
2209,11181235,3e Helmersstraat 47B,(y = boven plint),1,Actueel,,14,Inbusbout,-6.0,10.0,N,AE36,POINT (120177.1 486449.1),J
2210,11181236,3e Helmersstraat 39,,1,Actueel,,14,Inbusbout,17.0,102.0,N,AE36,POINT (120212.5 486466.6),J
2211,11181237,3e Helmersstraat 31,hoek De Genestetstraat,1,Actueel,,14,Inbusbout,-7.0,103.0,N,AE36,POINT (120234.7 486476.2),J
2212,11181238,2e Helmersstraat 28,in De Genestetstraat,1,Actueel,,14,Inbusbout,437.0,74.0,O,AE36,POINT (120252.7 486440.2),J
